

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    47.00000 -0.523788E+01  0.205608E+01 -0.523944E+01  0.205608E+01 -0.509050E+00   -294.360   -288.852   -401.875      47
    48.00000 -0.523174E+01  0.212450E+01 -0.523329E+01  0.212450E+01 -0.525829E+00   -316.244   -305.868   -395.596      48
    49.00000 -0.523174E+01  0.217220E+01 -0.523303E+01  0.217220E+01 -0.543288E+00   -332.753   -321.615   -387.964      49
    50.00000 -0.521192E+01  0.225948E+01 -0.521421E+01  0.225948E+01 -0.562162E+00   -354.820   -337.048   -381.456      50
    51.00000 -0.514919E+01  0.234824E+01 -0.515151E+01  0.234824E+01 -0.582400E+00   -403.297   -362.746   -375.444      51
    52.00000 -0.510450E+01  0.245476E+01 -0.510727E+01  0.245476E+01 -0.603874E+00   -434.340   -385.722   -370.537      52
    53.00000 -0.507331E+01  0.256196E+01 -0.507609E+01  0.256196E+01 -0.626266E+00   -463.921   -410.095   -366.619      53
    54.00000 -0.504987E+01  0.265583E+01 -0.505232E+01  0.265583E+01 -0.649312E+00   -490.344   -432.059   -363.906      54
    55.00000 -0.504987E+01  0.272118E+01 -0.505161E+01  0.272118E+01 -0.672746E+00   -493.318   -445.792   -362.241      55
    56.00000 -0.513987E+01  0.277203E+01 -0.514160E+01  0.277203E+01 -0.696331E+00   -418.728   -431.449   -361.093      56
    57.00000 -0.591737E+01  0.285421E+01 -0.591911E+01  0.285421E+01 -0.720039E+00   -210.720   -315.150   -360.947      57
    58.00000 -0.591737E+01  0.294120E+01 -0.591913E+01  0.294120E+01 -0.743660E+00   -315.018   -330.413   -361.570      58
    59.00000 -0.594737E+01  0.300285E+01 -0.594912E+01  0.300285E+01 -0.767090E+00   -339.161   -344.647   -362.554      59
    60.00000 -0.594737E+01  0.309201E+01 -0.594930E+01  0.309201E+01 -0.790253E+00   -372.039   -363.171   -363.524      60
    61.00000 -0.612737E+01  0.315666E+01 -0.612929E+01  0.315666E+01 -0.813243E+00   -311.184   -348.250   -364.212      61
    62.00000 -0.612737E+01  0.320670E+01 -0.612920E+01  0.320670E+01 -0.836118E+00   -364.505   -361.070   -364.505      62
    63.00000 -0.612737E+01  0.339162E+01 -0.613032E+01  0.339162E+01 -0.858963E+00   -405.103   -387.010   -364.572      63
    64.00000 -0.606295E+01  0.351963E+01 -0.606519E+01  0.351963E+01 -0.881805E+00   -505.076   -431.775   -364.569      64
    65.00000 -0.606292E+01  0.369920E+01 -0.606645E+01  0.369920E+01 -0.904605E+00   -507.610   -454.537   -364.721      65
    66.00000 -0.606292E+01  0.379752E+01 -0.606442E+01  0.379752E+01 -0.927297E+00   -558.531   -492.066   -365.158      66
    67.00000 -0.832293E+01  0.382656E+01 -0.832440E+01  0.382656E+01 -0.949928E+00   -114.556   -194.922   -365.772      67
    68.00000 -0.832293E+01  0.391735E+01 -0.832458E+01  0.391735E+01 -0.972353E+00   -220.890   -226.341   -366.759      68
    69.00000 -0.832293E+01  0.406429E+01 -0.832504E+01  0.406429E+01 -0.994594E+00   -262.666   -258.871   -367.017      69
    70.00000 -0.827821E+01  0.421924E+01 -0.828043E+01  0.421924E+01 -0.101729E+01   -310.408   -291.530   -364.191      70
    71.00000 -0.821462E+01  0.438596E+01 -0.821699E+01  0.438596E+01 -0.104116E+01   -365.476   -327.198   -358.741      71
    72.00000 -0.815037E+01  0.456495E+01 -0.815304E+01  0.456495E+01 -0.106689E+01   -420.484   -363.112   -352.670      72
    73.00000 -0.811587E+01  0.477283E+01 -0.811926E+01  0.477283E+01 -0.109384E+01   -462.150   -397.402   -347.684      73
    74.00000 -0.806944E+01  0.494465E+01 -0.807193E+01  0.494465E+01 -0.112156E+01   -544.449   -443.158   -344.063      74
    75.00000 -0.802024E+01  0.512457E+01 -0.802293E+01  0.512457E+01 -0.114981E+01   -627.668   -485.560   -342.256      75
    76.00000 -0.801351E+01  0.530319E+01 -0.801617E+01  0.530319E+01 -0.117811E+01   -647.436   -520.730   -341.626      76
    77.00000 -0.801351E+01  0.552491E+01 -0.801724E+01  0.552491E+01 -0.120630E+01   -690.661   -557.252   -342.438      77
    78.00000 -0.115135E+02  0.553425E+01 -0.115172E+02  0.553425E+01 -0.123431E+01    -84.113   -135.348   -343.593      78
    79.00000 -0.124235E+02  0.560057E+01 -0.124272E+02  0.560057E+01 -0.126190E+01   -124.095   -141.005   -345.457      79
    80.00000 -0.123984E+02  0.572955E+01 -0.124025E+02  0.572955E+01 -0.128981E+01   -187.361   -180.403   -340.017      80
    81.00000 -0.123599E+02  0.590420E+01 -0.123644E+02  0.590420E+01 -0.132257E+01   -224.300   -210.973   -317.830      81
    82.00000 -0.127699E+02  0.601543E+01 -0.127744E+02  0.601543E+01 -0.136128E+01   -183.339   -199.386   -294.398      82
    83.00000 -0.150499E+02  0.603745E+01 -0.150543E+02  0.603745E+01 -0.141170E+01    -89.899   -111.404   -274.628      83
    84.00000 -0.150799E+02  0.613593E+01 -0.150844E+02  0.613593E+01 -0.147470E+01   -158.262   -151.238   -250.333      84
    85.00000 -0.150899E+02  0.625906E+01 -0.150944E+02  0.625906E+01 -0.156459E+01   -186.887   -176.726   -219.934      85
    86.00000 -0.150899E+02  0.644325E+01 -0.150948E+02  0.644325E+01 -0.169259E+01   -211.651   -197.652   -201.600      86
    87.00000 -0.150899E+02  0.664160E+01 -0.150949E+02  0.664160E+01 -0.183679E+01   -233.549   -217.045   -194.787      87
    88.00000 -0.150734E+02  0.683546E+01 -0.150783E+02  0.683546E+01 -0.198415E+01   -257.584   -235.971   -193.523      88
    89.00000 -0.150734E+02  0.695438E+01 -0.150765E+02  0.695438E+01 -0.212750E+01   -275.022   -252.275   -196.375      89
